DISTRITO;SUPERFICIE DE PARQUES HISTÓRICOS, SINGULARES Y FORESTALES (ha);;;;;
ARGANZUELA;43,02;;;;;
BARAJAS;167,26;;;;;
CARABANCHEL;15,12;;;;;
CENTRO;13,21;;;;;
CHAMARTÍN;0;;;;;
CHAMBERÍ;0;;;;;
CIUDAD LINEAL;2,64;;;;;
FUENCARRAL - EL PARDO;7,1;;;;;
HORTALEZA;424,89;;;;;
LATINA;14,91;;;;;
MONCLOA-ARAVACA;1686,31;;;;;
MORATALAZ;59,96;;;;;
PUENTE DE VALLECAS;41,1;;;;;
RETIRO;117,73;;;;;
SALAMANCA;7,42;;;;;
SAN BLAS - CANILLEJAS;39,71;;;;;
TETUÁN;0;;;;;
USERA;29,71;;;;;
VICÁLVARO;0;;;;;
VILLA DE VALLECAS;0,34;;;;;
VILLAVERDE;26,85;;;;;
;2697,28;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
